prompt,name,problem_type,language,parallelism_model,temperature,top_p,do_sample,max_new_tokens,prompted,generated_output,did_build,is_source_valid,best_sequential_runtime,output_idx,run_idx,did_run,is_valid,runtime,num_threads,num_procs
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.0025890629986,0,0.0,True,True,0.0043050895998,1.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.0025890629986,0,1.0,True,True,0.0026308422006,2.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.0025890629986,0,2.0,True,True,0.00262296899891,4.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.0025890629986,0,3.0,True,True,0.00436486959952,8.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.0025890629986,0,4.0,True,True,0.0064370084001,16.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.00260445780004,1,0.0,True,True,0.0032308622016,1.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.00260445780004,1,1.0,True,True,0.00399286580214,2.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.00260445780004,1,2.0,True,True,0.0040198770017,4.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.00260445780004,1,3.0,True,True,0.00273052520206,8.0,
"#include <omp.h>\n\nbool isPowerOfTwo(int x) {\n	return (x > 0) && !(x & (x - 1));\n}\n\n/* Apply the isPowerOfTwo function to every value in x and store the results in mask.\n   Use OpenMP to compute in parallel.\n   Example:\n\n   input: [8, 0, 9, 7, 15, 64, 3]\n   output: [true, false, false, false, false, true, false]\n*/\nvoid mapPowersOfTwo(std::vector<int> const& x, std::vector<bool> &mask) {",59_transform_map_function,transform,cpp,omp,0.2,0.95,True,128,False,int n = x.size();\n	mask.resize(n);\n\n	#pragma omp parallel for\n	for (int i = 0; i < n; i++) {\n		mask[i] = isPowerOfTwo(x[i]);\n	}\n},True,True,0.00260445780004,1,4.0,True,True,0.00464035940095,16.0,
